"","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude"
"215","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","6863279",47.33333,13.33333
"216","AT","Austria","WIRTSCHAFTSUNIVERSITAT WIEN","1505945.63",47.33333,13.33333
"217","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1989001.25",47.33333,13.33333
"218","AT","Austria","Kompetenzzentrum - Das Virtuelle Fahrzeug, Forschungsgesellschaft mbH","3.909024069E7",47.33333,13.33333
"219","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"220","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","261208.8",47.33333,13.33333
"221","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","3871879.5",47.33333,13.33333
"222","AT","Austria","INTELLIC GMBH","71429",47.33333,13.33333
"223","AT","Austria","OESTERREICHISCHE FORSCHUNGSFOERDERUNGSGESELLSCHAFT MBH","5.201547373E7",47.33333,13.33333
"224","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"225","AT","Austria","Institute of Science and Technology Austria","1444394",47.33333,13.33333
"226","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","166156.8",47.33333,13.33333
"227","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"228","AT","Austria","BIOBANKS AND BIOMOLECULAR RESOURCESRESEARCH INFRASTRUCTURE CONSORTIUM(BBMRI-ERIC)","4949448.91",47.33333,13.33333
"229","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","3970327.5",47.33333,13.33333
"230","AT","Austria","J GRABNER GMBH","71429",47.33333,13.33333
"231","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","5882535",47.33333,13.33333
"232","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","2025493.75",47.33333,13.33333
"233","AT","Austria","LUDWIG BOLTZMANN GESELLSCHAFT OSTERREICHISCHE VEREINIGUNG ZUR FORDERUNG DER WISSENSCHAFTLICHEN FORSCHUNG","178156.8",47.33333,13.33333
"234","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1999962.5",47.33333,13.33333
"235","AT","Austria","PROFACTOR GMBH","4997351.25",47.33333,13.33333
"236","AT","Austria","INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE","5212962.5",47.33333,13.33333
"237","AT","Austria","EUROPEAN SUSTAINABLE ENERGY INNOVATION ALLIANCE - ESEIA, VEREIN FUR FORDERUNG DER EUROPAIESCHEN INNOVATION FUR ERNEUERBARE ENERGIEN","3697580",47.33333,13.33333
"238","AT","Austria","AVL LIST GMBH","3499376.25",47.33333,13.33333
"239","AT","Austria","VOESTALPINE BOHLER AEROSPACE GMBH & CO KG","450000",47.33333,13.33333
"240","AT","Austria","UNIVERSITAT WIEN","178156.8",47.33333,13.33333
"241","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"242","AT","Austria","INFINEON TECHNOLOGIES AUSTRIA  AG","166156.8",47.33333,13.33333
"243","AT","Austria","VASCOPS GMBH","71429",47.33333,13.33333
"244","AT","Austria","CSD LABS GMBH","71429",47.33333,13.33333
"245","AT","Austria","CRYOSHELTER GMBH","2433382.5",47.33333,13.33333
"246","AT","Austria","INTERDISZIPLINARES FORSCHUNGSZENTRUM FUR TECHNIK, ARBEIT UND KULTUR","2026381.25",47.33333,13.33333
"247","AT","Austria","AMR PROPULSION INNOVATIONS GMBH","1671825",47.33333,13.33333
"248","AT","Austria","UNIVERSITAT WIEN","2500000",47.33333,13.33333
"249","AT","Austria","XEPHOR SOLUTIONS GMBH","71429",47.33333,13.33333
"250","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","3694635",47.33333,13.33333
"251","AT","Austria","AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN","1409995",47.33333,13.33333
"252","AT","Austria","URBANGOLD GMBH","71429",47.33333,13.33333
"253","AT","Austria","IIO INSTITUT FUR IMMOBILIENOKONOMIEGMBH","1487948.75",47.33333,13.33333
"254","AT","Austria","GREGOR-MENDEL-INSTITUT FÜR MOLEKULARE PFLANZENBIOLOGIE GMBH","166156.8",47.33333,13.33333
"255","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","8199387.75",47.33333,13.33333
"256","AT","Austria","VCE VIENNA CONSULTING ENGINEERS ZT GMBH","71429",47.33333,13.33333
"257","AT","Austria","MEDIZINISCHE UNIVERSITAT GRAZ","218176.2",47.33333,13.33333
"258","AT","Austria","OESTERREICHISCHE FORSCHUNGSFOERDERUNGSGESELLSCHAFT MBH","18514921",47.33333,13.33333
"259","AT","Austria","OSTERREICHISCHE ENERGIEAGENTUR AUSTRIAN ENERGY AGENCY","1565566.25",47.33333,13.33333
"260","AT","Austria","UNIVERSITAET GRAZ","178156.8",47.33333,13.33333
"261","AT","Austria","SPIRIT DESIGN - INNOVATION AND BRAND GMBH","71429",47.33333,13.33333
"262","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","4118521.25",47.33333,13.33333
"263","AT","Austria","MEDIZINISCHE UNIVERSITAT INNSBRUCK","2484325",47.33333,13.33333
"264","AT","Austria","INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE","869722",47.33333,13.33333
"265","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","6722100.32",47.33333,13.33333
"266","AT","Austria","TECHNISCHE UNIVERSITAET GRAZ","1996315",47.33333,13.33333
"267","AT","Austria","INNOFREIGHT Speditions GmbH","3160166.25",47.33333,13.33333
"268","AT","Austria","TREMITAS GMBH","71429",47.33333,13.33333
"269","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","4991600",47.33333,13.33333
"270","AT","Austria","UNIVERSITAET FUER BODENKULTUR WIEN","1929319",47.33333,13.33333
"271","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"272","AT","Austria","Institute of Science and Technology Austria","1984922",47.33333,13.33333
"273","AT","Austria","UNIVERSITAT WIEN","1999640.01",47.33333,13.33333
"274","AT","Austria","CEMM - FORSCHUNGSZENTRUM FUER MOLEKULARE MEDIZIN GMBH","1281205",47.33333,13.33333
